廣州綜合HD,rtmp://play.gztv.com/live/23436_dc2089877e7111e892905cb9018cf0d4
廣州新聞HD,rtmp://play.gztv.com/live/23436_e2fd8e1e7e7111e892905cb9018cf0d4
公共頻道,rtsp://183.59.156.50/PLTV/88888905/224/3221226931/00000100000000060000000000554902_0.smil
廣東新聞頻道,rtsp://183.59.156.50/PLTV/88888905/224/3221226969/00000100000000060000000000554905_0.smil
珠江頻道,rtsp://183.59.156.50/PLTV/88888905/224/3221229854/10000100000000060000000009467088_0.smil
广东体育,rtsp://183.59.156.50/PLTV/88888905/224/3221227818/10000100000000060000000005076859_0.smil
CCTV-5+HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227192/10000100000000060000000000987131_0.smil
CCTV-5HD,http://223.110.242.130:6610/gitv/live1/G_CCTV-5-CQ/1.m3u8
CCTV-5(備用),http://121.31.30.90:8085/ysten-business/live/cctv-5/1.m3u8
五星體育,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=4612233678249154892&livemode=1&authCode=3a&stbId=8A
TVS-1HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227238/10000100000000060000000000987130_0.smil
TVS-2,rtsp://183.59.156.50/PLTV/88888905/224/3221226975/00000100000000060000000000554907_0.smil
廣東綜藝4K,rtsp://183.59.156.50/PLTV/88888905/224/3221228307/10000100000000060000000008189136_0.smil
TVS-4,rtsp://183.59.156.50/PLTV/88888905/224/3221226937/00000100000000060000000000554910_0.smil
TVS-5,rtsp://183.59.156.50/PLTV/88888905/224/3221226989/00000100000000060000000000554886_0.smil
TVB,tvbus://123Jo7e8peEW2TKY9XXWEYUc6nG2m8syRJeohsFZnVXeCLo4SJp
無線新聞,tvbus://1BQg1E56ShweYYaNsCW3s7fsfYM6gJXzaJMMvc4DpBsvLYWYYH
明珠台,tvbus://1YcHWi1q3u1YKHVT5FNNjgwSg51XGuktSuE7beB6jdF4Phdbd5
J2,tvbus://123nkim1Tbbxwy2RB6od679bbRubx54RaZoE3VctyoiUqFDACTN
無線財經資訊台,tvbus://1yDjfzgaqXaPnaeuYSBvrfBC6dwaEneRYXLUQpsCqSxC7b6ttH
ViuTV,tvbus://1279aTLvLaYq6mY4fQWHCKhoc687SZJJZUgBARERSsYb51HuwG6
ViuTV6,tvbus://1GrfVYQAZ9dkdenG8o7JjXT3QQTD2burzSwDJoii9pGr8iBE1b
亞視A1,https://de035ceb0768225b04e9a007abe39fca.live.prod.hkatv.com/a1_cbr_lo.m3u8
亞視經典,https://1c3aecd176429fae1962f229fd51b1d5.live.prod.hkatv.com/a2_cbr_lo.m3u8
開電視(奇妙電視),http://media.fantv.hk/m3u8/archive/channel2_stream1.m3u8
RTHK31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-p.m3u8
RTHK32,tvbus://1o8ndPt5JxKyMJij4Lm4kFRKnAJnmqFfrD7BvhvGgQDZkCUmg1
廣州購物,rtmp://play.gztv.com/live/23436_741b268384b211e892905cb9018cf0d4
廣州生活,rtmp://play.gztv.com/live/23436_5fe853ef84b211e892905cb9018cf0d4
廣州經濟,rtmp://play.gztv.com/live/23436_9a1e9e7a84b211e892905cb9018cf0d4
廣州少兒,rtmp://play.gztv.com/live/23436_b2eb109d84b211e892905cb9018cf0d4
廣州競賽,rtmp://play.gztv.com/live/23436_e821bfc784b111e892905cb9018cf0d4
廣州影視,rtmp://play.gztv.com/live/23436_8a1764ff84b211e892905cb9018cf0d4
佛山綜合,http://dslive.grtn.cn/fszh/sd/live.m3u8
嶺南戲曲,rtsp://183.59.156.50/PLTV/88888905/224/3221227225/10000100000000060000000000990089_0.smil
珠江電影,rtsp://183.59.156.50/PLTV/88888905/224/3221228082/10000100000000060000000007057113_0.smil
廣東衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227218/10000100000000060000000000988525_0.smil
CCTV-1綜合HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227270/10000100000000060000000001141346_0.smil
CCTV-2財經HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227634/10000100000000060000000004662503_0.smil
CCTV-3綜藝,http://223.110.242.130:6610/gitv/live1/G_CCTV-3-CQ/1.m3u8
CCTV-4中文國際HD,http://223.110.242.130:6610/gitv/live1/G_CCTV-4-CQ/1.m3u8
CCTV-6電影,http://223.110.242.130:6610/gitv/live1/G_CCTV-6-CQ/1.m3u8
CCTV-7軍事農業HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227620/10000100000000060000000004662504_0.smil
CCTV-8電視劇,http://223.110.242.130:6610/gitv/live1/G_CCTV-8-CQ/1.m3u8
CCTV-9紀錄HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227617/10000100000000060000000004662501_0.smil
CCTV-10科教HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227631/10000100000000060000000004662500_0.smil
CCTV-11戲曲HD,http://223.110.242.130:6610/gitv/live1/G_CCTV-11-HQ/1.m3u8
CCTV-12社會與法HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227576/10000100000000060000000004662502_0.smil
CCTV-13新聞,http://223.110.242.130:6610/gitv/live1/G_CCTV-13-HQ/1.m3u8
CCTV-14少兒HD,rtsp://183.59.156.50/PLTV/88888905/224/3221227573/10000100000000060000000004662499_0.smil
CCTV-15音樂,rtsp://183.59.156.50/PLTV/88888905/224/3221227281/10000100000000060000000001066427_0.smil
CCTV-NEWS,rtsp://183.59.156.50/PLTV/88888905/224/3221227064/10000100000000060000000000698831_0.smil
IPTV3＋,rtsp://183.59.156.50/PLTV/88888905/224/3221227024/10000100000000060000000000698849_0.smil
IPTV5＋,rtsp://183.59.156.50/PLTV/88888905/224/3221227991/10000100000000060000000006877797_0.smil
IPTV6＋,rtsp://183.59.156.50/PLTV/88888905/224/3221227021/10000100000000060000000000698846_0.smil
IPTV8＋,rtsp://183.59.156.50/PLTV/88888905/224/3221227012/10000100000000060000000000698838_0.smil
鳳凰中文,sop://127.0.0.1:3912/776
鳳凰資訊,sop://127.0.0.1:3912/777
鳳凰香港台,sop://127.0.0.1:3912/778
三立新聞*,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
臺新聞*,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv1/chunklist.m3u8
東森新聞*,http://live.italkdd.com/cds160/hls/channel019/channel019.m3u8
湖南衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227325/10000100000000060000000001141345_0.smil
浙江衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227296/10000100000000060000000001141335_0.smil
江蘇衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227027/10000100000000060000000000698853_0.smil
東方衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227299/10000100000000060000000001141344_0.smil
安徽衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227928/10000100000000060000000006526299_0.smil
北京衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227018/10000100000000060000000000698843_0.smil
天津衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227346/10000100000000060000000003100521_0.smil
山東衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227215/10000100000000060000000000988473_0.smil
江西衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221229779/10000100000000060000000009575029_0.smil
深圳衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227267/10000100000000060000000001141334_0.smil
湖北衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227322/10000100000000060000000001141333_0.smil
遼寧衛視,rtsp://183.59.156.50/PLTV/88888905/224/3221227608/10000100000000060000000004547240_0.smil
